Age,Gender,Income Level,Location,Purchase Frequency,Avg Spend (INR),Product Category,Quantity Purchased,Previous Channel,Loyalty Membership,Payment Method,Discounts Used,Time of Purchase,Seasonality,Proximity to Store (km),Delivery Time (days),Device Ownership,Internet Access,Tech Savviness,Trust Level,Current Promotions,Channel Preference
45,Female,Medium,Urban,14,690,Beauty Products,2,Offline,FALSE,UPI,FALSE,Afternoon,Summer Sale,14,4,FALSE,TRUE,Low,Medium,Online Only,Offline
23,Female,High,Urban,5,396,Groceries,3,Online,FALSE,Digital Wallet,TRUE,Evening,Cyber Monday,14,1,TRUE,FALSE,Medium,Low,Online Only,Offline
29,Female,Low,Rural,4,581,Fashion,5,Offline,FALSE,Credit Card,FALSE,Morning,Regular,13,8,TRUE,TRUE,Low,Low,Offline Only,Online
30,Male,Medium,Suburban,17,876,Home Appliances,7,Offline,FALSE,Debit Card,TRUE,Morning,Summer Sale,13,4,TRUE,TRUE,Medium,High,Offline Only,Offline
28,Female,Low,Suburban,17,411,Furniture,5,Offline,FALSE,Debit Card,FALSE,Evening,Cyber Monday,7,8,TRUE,FALSE,Medium,Medium,Online Only,Online
51,Male,Low,Rural,19,130,Groceries,4,Online,TRUE,Credit Card,TRUE,Morning,Cyber Monday,15,5,TRUE,FALSE,Medium,Low,Offline Only,Offline
42,Female,Medium,Urban,16,785,Fashion,1,Online,TRUE,UPI,TRUE,Afternoon,Regular,13,4,TRUE,TRUE,Medium,Low,Offline Only,Online
27,Female,High,Rural,8,211,Furniture,9,Online,FALSE,Debit Card,TRUE,Morning,Cyber Monday,2,2,TRUE,TRUE,Medium,Low,Offline Only,Offline
30,Female,High,Rural,16,601,Furniture,3,Online,TRUE,Debit Card,TRUE,Morning,New Year Sale,5,4,FALSE,TRUE,Medium,High,Offline Only,Offline
21,Male,Medium,Suburban,13,644,Electronics,3,Online,TRUE,Cash,TRUE,Afternoon,New Year Sale,9,5,FALSE,FALSE,Low,Low,Online Only,Online
35,Female,Low,Rural,7,732,Groceries,2,Offline,TRUE,UPI,TRUE,Evening,Summer Sale,10,2,TRUE,TRUE,Low,Low,Online Only,Online
26,Male,Medium,Urban,6,940,Home Appliances,9,Online,TRUE,Credit Card,FALSE,Evening,Cyber Monday,4,8,FALSE,TRUE,High,High,Offline Only,Online
38,Male,Low,Rural,15,172,Fashion,10,Online,FALSE,UPI,TRUE,Afternoon,Regular,4,4,TRUE,TRUE,High,High,Offline Only,Offline
28,Male,Medium,Suburban,10,292,Fashion,1,Offline,TRUE,Credit Card,TRUE,Morning,Holiday Weekend,3,2,FALSE,FALSE,Low,Low,Online Only,Online
25,Female,High,Urban,4,321,Furniture,5,Online,FALSE,UPI,TRUE,Evening,Black Friday,8,8,TRUE,TRUE,Medium,High,Online Only,Online
30,Male,Medium,Urban,12,531,Electronics,8,Offline,TRUE,Debit Card,FALSE,Afternoon,Cyber Monday,15,4,FALSE,FALSE,Low,Medium,Offline Only,Offline
32,Male,High,Rural,18,397,Beauty Products,10,Offline,TRUE,Debit Card,FALSE,Afternoon,Summer Sale,2,3,TRUE,FALSE,High,Low,Online Only,Offline
32,Female,High,Rural,13,287,Fashion,3,Offline,TRUE,UPI,FALSE,Morning,Regular,5,4,TRUE,TRUE,Low,High,Offline Only,Online
23,Male,High,Rural,8,498,Electronics,8,Offline,FALSE,Cash,FALSE,Afternoon,Summer Sale,6,7,TRUE,FALSE,Low,Low,Offline Only,Online
29,Female,Medium,Rural,9,765,Home Appliances,1,Online,TRUE,Digital Wallet,TRUE,Evening,New Year Sale,7,3,FALSE,FALSE,High,Low,Offline Only,Online
31,Male,Medium,Suburban,16,856,Home Appliances,7,Offline,FALSE,Digital Wallet,FALSE,Afternoon,Regular,15,2,TRUE,FALSE,Medium,Low,Offline Only,Offline
52,Male,High,Urban,19,915,Beauty Products,6,Offline,TRUE,Credit Card,FALSE,Morning,Cyber Monday,15,7,FALSE,FALSE,Medium,Low,Offline Only,Online
45,Female,Medium,Suburban,20,892,Groceries,10,Online,TRUE,Debit Card,TRUE,Evening,Black Friday,12,6,TRUE,TRUE,Medium,High,Offline Only,Online
24,Male,Medium,Suburban,18,790,Groceries,9,Offline,FALSE,UPI,FALSE,Morning,Black Friday,2,4,FALSE,FALSE,Low,Low,Online Only,Offline
52,Male,High,Urban,3,163,Fashion,8,Online,FALSE,UPI,FALSE,Evening,Summer Sale,13,4,TRUE,FALSE,High,Medium,Offline Only,Online
46,Female,Low,Suburban,6,605,Home Appliances,7,Online,FALSE,Credit Card,FALSE,Evening,Black Friday,8,2,TRUE,FALSE,High,Medium,Online Only,Online
47,Female,Medium,Urban,15,797,Fashion,5,Offline,FALSE,Credit Card,FALSE,Evening,Regular,2,1,TRUE,FALSE,Low,Medium,Offline Only,Online
21,Female,Medium,Rural,12,416,Fashion,5,Online,FALSE,Digital Wallet,FALSE,Morning,Regular,9,8,TRUE,TRUE,Medium,High,Offline Only,Offline
23,Male,Low,Urban,14,715,Fashion,8,Offline,FALSE,Cash,TRUE,Morning,New Year Sale,9,2,TRUE,FALSE,High,Medium,Offline Only,Online
28,Male,Medium,Urban,14,523,Home Appliances,6,Online,FALSE,Debit Card,FALSE,Evening,Regular,11,6,TRUE,FALSE,Low,Medium,Online Only,Online
23,Female,High,Urban,9,875,Fashion,3,Online,TRUE,Credit Card,FALSE,Afternoon,Cyber Monday,1,4,TRUE,TRUE,Low,Low,Online Only,Offline
23,Female,Medium,Urban,3,858,Furniture,8,Online,TRUE,Debit Card,TRUE,Afternoon,Holiday Weekend,3,1,TRUE,FALSE,Medium,Low,Online Only,Online
48,Male,Low,Urban,15,372,Groceries,2,Online,FALSE,Debit Card,TRUE,Afternoon,Holiday Weekend,10,5,TRUE,FALSE,Medium,Medium,Online Only,Offline
52,Male,Low,Urban,10,730,Groceries,6,Offline,TRUE,Debit Card,TRUE,Afternoon,Regular,13,4,FALSE,FALSE,High,Low,Offline Only,Offline
28,Female,High,Urban,14,319,Beauty Products,1,Online,TRUE,Debit Card,TRUE,Morning,Regular,5,8,FALSE,FALSE,High,High,Online Only,Offline
45,Male,Low,Urban,15,409,Groceries,1,Online,FALSE,Credit Card,FALSE,Afternoon,New Year Sale,13,3,TRUE,FALSE,Medium,High,Offline Only,Online
24,Female,Medium,Suburban,20,332,Home Appliances,5,Online,FALSE,Debit Card,FALSE,Evening,Holiday Weekend,12,7,TRUE,FALSE,Low,Medium,Offline Only,Offline
36,Male,High,Suburban,3,590,Groceries,2,Offline,FALSE,UPI,FALSE,Afternoon,Regular,8,1,FALSE,TRUE,High,Medium,Online Only,Online
27,Female,Medium,Suburban,3,252,Fashion,8,Online,FALSE,Credit Card,FALSE,Morning,New Year Sale,14,1,TRUE,FALSE,Low,High,Online Only,Online
49,Female,Low,Urban,10,434,Furniture,7,Offline,FALSE,UPI,FALSE,Morning,Summer Sale,5,7,TRUE,FALSE,Low,Low,Offline Only,Offline
26,Female,High,Urban,20,399,Fashion,10,Offline,TRUE,Digital Wallet,FALSE,Morning,Black Friday,8,8,FALSE,FALSE,High,Medium,Online Only,Online
39,Male,Medium,Suburban,17,773,Home Appliances,10,Offline,TRUE,Debit Card,TRUE,Evening,New Year Sale,1,2,TRUE,TRUE,Low,Low,Offline Only,Offline
37,Male,Low,Rural,4,593,Beauty Products,4,Offline,TRUE,Cash,FALSE,Evening,Summer Sale,6,4,TRUE,TRUE,Low,High,Offline Only,Online
29,Female,Medium,Rural,18,777,Beauty Products,10,Offline,TRUE,UPI,FALSE,Afternoon,New Year Sale,14,3,FALSE,TRUE,Medium,Low,Offline Only,Online
22,Male,Medium,Rural,3,461,Fashion,8,Online,TRUE,Cash,TRUE,Afternoon,Cyber Monday,3,3,FALSE,FALSE,High,Low,Offline Only,Online
51,Female,Low,Rural,5,571,Home Appliances,6,Offline,TRUE,Digital Wallet,TRUE,Evening,Summer Sale,1,7,FALSE,TRUE,Medium,Low,Offline Only,Offline
31,Female,High,Suburban,7,164,Beauty Products,10,Online,FALSE,Debit Card,TRUE,Morning,Cyber Monday,7,8,TRUE,TRUE,High,Low,Online Only,Offline
51,Female,Low,Suburban,4,671,Home Appliances,3,Offline,FALSE,Cash,FALSE,Afternoon,Holiday Weekend,13,1,TRUE,TRUE,Low,High,Online Only,Online
52,Male,High,Suburban,16,948,Home Appliances,1,Offline,FALSE,UPI,FALSE,Morning,New Year Sale,12,5,FALSE,TRUE,High,Low,Online Only,Online
27,Female,Low,Rural,4,900,Home Appliances,8,Online,TRUE,Credit Card,FALSE,Morning,Regular,12,7,TRUE,TRUE,High,Medium,Offline Only,Offline
18,Female,Low,Urban,20,903,Groceries,8,Online,TRUE,Debit Card,FALSE,Afternoon,Summer Sale,3,2,FALSE,TRUE,Medium,Low,Offline Only,Online
49,Male,High,Rural,20,981,Groceries,9,Online,FALSE,UPI,TRUE,Evening,Cyber Monday,1,4,FALSE,FALSE,Medium,Medium,Offline Only,Offline
24,Male,High,Suburban,9,502,Groceries,2,Offline,FALSE,UPI,TRUE,Afternoon,Summer Sale,5,8,TRUE,FALSE,Medium,High,Online Only,Online
50,Male,High,Urban,5,366,Beauty Products,7,Online,TRUE,UPI,FALSE,Morning,Holiday Weekend,7,6,TRUE,TRUE,Medium,Medium,Online Only,Offline
27,Male,Medium,Rural,7,230,Home Appliances,6,Offline,FALSE,Cash,TRUE,Morning,New Year Sale,12,6,FALSE,FALSE,High,High,Online Only,Online
31,Male,High,Suburban,4,525,Groceries,6,Online,FALSE,Debit Card,TRUE,Morning,Cyber Monday,10,5,TRUE,TRUE,High,High,Offline Only,Online
41,Female,High,Urban,14,532,Groceries,3,Offline,TRUE,Digital Wallet,FALSE,Afternoon,Regular,1,6,FALSE,FALSE,Low,High,Offline Only,Online
37,Female,High,Suburban,7,545,Home Appliances,9,Online,TRUE,UPI,FALSE,Morning,Summer Sale,11,1,TRUE,FALSE,High,Low,Offline Only,Online
26,Male,Medium,Urban,9,863,Electronics,8,Offline,TRUE,UPI,FALSE,Afternoon,Holiday Weekend,1,8,TRUE,FALSE,Medium,Low,Online Only,Offline
36,Female,Medium,Suburban,19,496,Electronics,6,Online,FALSE,Credit Card,TRUE,Evening,Regular,11,8,FALSE,TRUE,Low,Low,Offline Only,Online
39,Female,High,Rural,10,767,Groceries,6,Online,TRUE,Digital Wallet,TRUE,Morning,Regular,5,3,FALSE,FALSE,Medium,High,Online Only,Offline
46,Female,High,Rural,13,499,Groceries,2,Online,FALSE,Credit Card,TRUE,Evening,Cyber Monday,1,2,TRUE,TRUE,Medium,Medium,Online Only,Online
19,Male,High,Urban,18,208,Home Appliances,1,Online,TRUE,Debit Card,FALSE,Evening,Summer Sale,10,1,TRUE,FALSE,High,Medium,Online Only,Online
36,Male,Low,Rural,7,665,Beauty Products,2,Online,FALSE,Digital Wallet,FALSE,Evening,Holiday Weekend,9,8,TRUE,FALSE,High,Low,Online Only,Offline
32,Female,High,Urban,19,227,Fashion,7,Offline,FALSE,Credit Card,FALSE,Afternoon,Cyber Monday,9,1,TRUE,TRUE,High,Medium,Online Only,Online
25,Male,Low,Rural,10,676,Beauty Products,6,Online,TRUE,Debit Card,TRUE,Afternoon,Holiday Weekend,11,3,FALSE,FALSE,High,Medium,Online Only,Offline
19,Female,High,Rural,5,723,Furniture,1,Online,FALSE,Credit Card,FALSE,Evening,Holiday Weekend,13,6,FALSE,TRUE,Medium,High,Offline Only,Offline
22,Male,High,Urban,20,916,Home Appliances,10,Offline,FALSE,UPI,FALSE,Morning,Cyber Monday,3,8,FALSE,TRUE,High,Medium,Online Only,Offline
41,Female,High,Suburban,12,817,Furniture,2,Offline,FALSE,Cash,TRUE,Afternoon,Holiday Weekend,2,8,TRUE,TRUE,High,Low,Online Only,Offline
18,Female,Medium,Suburban,6,882,Groceries,2,Offline,FALSE,Credit Card,FALSE,Evening,Holiday Weekend,1,7,TRUE,FALSE,Medium,High,Offline Only,Offline
18,Male,Medium,Suburban,10,780,Furniture,3,Offline,TRUE,Digital Wallet,TRUE,Afternoon,Regular,9,6,FALSE,FALSE,Medium,Medium,Online Only,Offline
40,Female,Low,Rural,15,146,Electronics,9,Offline,TRUE,Digital Wallet,FALSE,Morning,Summer Sale,14,7,TRUE,FALSE,Medium,Medium,Online Only,Online
38,Female,High,Urban,9,575,Electronics,1,Offline,TRUE,Credit Card,TRUE,Afternoon,New Year Sale,6,7,TRUE,FALSE,Medium,Low,Offline Only,Offline
47,Male,Medium,Rural,11,964,Fashion,10,Offline,FALSE,Credit Card,TRUE,Afternoon,New Year Sale,3,6,FALSE,TRUE,Low,Low,Online Only,Offline
39,Male,Medium,Rural,9,404,Fashion,2,Offline,FALSE,Credit Card,TRUE,Morning,Black Friday,13,4,FALSE,TRUE,High,Low,Offline Only,Online
24,Female,Medium,Suburban,4,108,Beauty Products,5,Offline,FALSE,Cash,FALSE,Morning,Summer Sale,3,8,TRUE,TRUE,Low,High,Online Only,Offline
29,Female,Low,Rural,9,225,Groceries,8,Online,FALSE,Debit Card,FALSE,Evening,Black Friday,7,3,TRUE,FALSE,Medium,Low,Online Only,Offline
44,Male,High,Suburban,17,337,Beauty Products,6,Online,TRUE,Cash,FALSE,Morning,Holiday Weekend,6,5,TRUE,FALSE,Medium,Medium,Offline Only,Offline
23,Female,Medium,Suburban,20,658,Fashion,5,Online,TRUE,Credit Card,FALSE,Afternoon,New Year Sale,1,4,FALSE,TRUE,High,High,Online Only,Offline
32,Male,Low,Rural,9,106,Groceries,4,Online,TRUE,Debit Card,TRUE,Morning,Cyber Monday,3,6,TRUE,FALSE,Low,Medium,Offline Only,Offline
21,Female,High,Suburban,18,112,Home Appliances,7,Offline,TRUE,Debit Card,TRUE,Morning,Black Friday,1,2,FALSE,TRUE,Low,Low,Offline Only,Offline
19,Male,Medium,Suburban,16,827,Fashion,3,Online,FALSE,Digital Wallet,TRUE,Evening,Regular,1,7,FALSE,TRUE,Medium,Medium,Online Only,Offline
23,Female,High,Suburban,15,639,Electronics,4,Online,FALSE,UPI,TRUE,Afternoon,Holiday Weekend,11,4,FALSE,FALSE,High,Medium,Offline Only,Online
44,Female,Medium,Urban,17,812,Fashion,8,Offline,FALSE,Cash,FALSE,Afternoon,Regular,13,6,TRUE,FALSE,Low,Low,Online Only,Offline
36,Female,Medium,Suburban,6,216,Groceries,7,Offline,FALSE,Digital Wallet,FALSE,Morning,Black Friday,3,7,FALSE,TRUE,Medium,High,Offline Only,Offline
52,Male,Low,Rural,14,1000,Groceries,4,Offline,TRUE,Cash,FALSE,Morning,Holiday Weekend,6,2,TRUE,FALSE,Medium,High,Offline Only,Online
40,Female,High,Rural,15,523,Groceries,9,Offline,TRUE,UPI,TRUE,Morning,Black Friday,2,8,TRUE,TRUE,Medium,Medium,Offline Only,Online
41,Male,Low,Urban,18,658,Groceries,7,Online,FALSE,Credit Card,FALSE,Evening,New Year Sale,7,7,FALSE,TRUE,Low,High,Online Only,Online
20,Male,Medium,Rural,13,475,Fashion,5,Offline,FALSE,UPI,TRUE,Afternoon,Holiday Weekend,14,2,TRUE,TRUE,High,Low,Online Only,Online
25,Female,High,Rural,18,322,Fashion,10,Online,FALSE,Cash,TRUE,Evening,Black Friday,3,3,TRUE,TRUE,Medium,Medium,Offline Only,Offline
28,Female,Low,Suburban,16,920,Groceries,1,Offline,TRUE,UPI,FALSE,Evening,Holiday Weekend,13,1,FALSE,TRUE,High,Medium,Online Only,Offline
32,Female,Low,Urban,6,270,Groceries,9,Online,FALSE,Credit Card,FALSE,Morning,Cyber Monday,5,1,FALSE,FALSE,Low,Low,Online Only,Online
41,Male,Medium,Rural,11,940,Home Appliances,1,Online,TRUE,Cash,FALSE,Morning,Cyber Monday,1,4,TRUE,FALSE,Low,High,Online Only,Offline
28,Male,High,Urban,3,493,Beauty Products,2,Offline,TRUE,UPI,TRUE,Afternoon,Cyber Monday,9,7,TRUE,FALSE,High,High,Online Only,Offline
33,Male,High,Suburban,5,969,Electronics,10,Online,FALSE,UPI,TRUE,Morning,New Year Sale,10,4,FALSE,FALSE,Low,Medium,Online Only,Offline
38,Female,Medium,Suburban,5,293,Electronics,8,Online,FALSE,Digital Wallet,FALSE,Morning,Summer Sale,14,8,FALSE,TRUE,Medium,High,Online Only,Offline
44,Female,High,Urban,9,173,Fashion,5,Offline,FALSE,Cash,TRUE,Evening,Summer Sale,6,8,TRUE,TRUE,Medium,Medium,Online Only,Online
32,Female,Low,Suburban,16,433,Home Appliances,10,Online,FALSE,Digital Wallet,FALSE,Afternoon,Holiday Weekend,5,7,TRUE,FALSE,Low,Medium,Online Only,Offline
49,Female,Low,Suburban,19,897,Home Appliances,1,Online,FALSE,Debit Card,FALSE,Evening,Regular,2,6,FALSE,FALSE,High,High,Online Only,Offline
23,Male,Low,Urban,7,993,Electronics,6,Online,FALSE,Digital Wallet,TRUE,Evening,Black Friday,15,2,TRUE,FALSE,Medium,Medium,Online Only,Offline
41,Male,Low,Rural,3,241,Home Appliances,3,Online,FALSE,Debit Card,TRUE,Morning,Cyber Monday,9,5,FALSE,TRUE,Low,High,Online Only,Online
34,Female,High,Suburban,15,719,Home Appliances,2,Offline,FALSE,Digital Wallet,TRUE,Afternoon,Cyber Monday,9,5,FALSE,FALSE,Low,Medium,Offline Only,Online
28,Male,Medium,Suburban,8,754,Home Appliances,8,Online,FALSE,Credit Card,FALSE,Evening,Holiday Weekend,1,2,TRUE,TRUE,High,Low,Online Only,Online
40,Male,Low,Urban,20,854,Beauty Products,5,Online,TRUE,Credit Card,TRUE,Afternoon,New Year Sale,2,5,TRUE,FALSE,Low,Low,Online Only,Online
31,Male,Low,Suburban,10,197,Groceries,2,Offline,FALSE,Cash,FALSE,Afternoon,New Year Sale,12,7,FALSE,TRUE,Medium,Medium,Offline Only,Offline
38,Female,Medium,Urban,15,586,Beauty Products,2,Online,FALSE,UPI,FALSE,Morning,Holiday Weekend,13,1,FALSE,TRUE,Low,High,Online Only,Online
42,Male,Low,Suburban,14,544,Beauty Products,3,Online,FALSE,Digital Wallet,TRUE,Evening,Black Friday,11,2,TRUE,TRUE,High,High,Offline Only,Offline
39,Female,High,Rural,15,776,Beauty Products,5,Offline,TRUE,Debit Card,TRUE,Evening,Cyber Monday,11,8,FALSE,FALSE,Low,High,Online Only,Offline
25,Female,High,Urban,4,900,Home Appliances,5,Online,FALSE,UPI,FALSE,Afternoon,Cyber Monday,5,6,FALSE,TRUE,High,Medium,Offline Only,Offline
48,Female,High,Suburban,9,591,Fashion,5,Offline,FALSE,Cash,FALSE,Afternoon,Regular,3,1,FALSE,TRUE,Medium,High,Offline Only,Offline
18,Male,High,Suburban,5,422,Electronics,5,Offline,TRUE,Credit Card,TRUE,Evening,Regular,14,8,TRUE,FALSE,Low,Low,Offline Only,Online
40,Male,Medium,Urban,18,496,Beauty Products,2,Offline,FALSE,Credit Card,TRUE,Evening,Holiday Weekend,2,2,FALSE,FALSE,Low,High,Online Only,Offline
48,Female,High,Urban,20,179,Fashion,1,Offline,FALSE,Digital Wallet,TRUE,Evening,Summer Sale,15,7,TRUE,FALSE,Low,Low,Offline Only,Online
41,Female,High,Urban,18,253,Furniture,3,Offline,TRUE,Credit Card,FALSE,Afternoon,Cyber Monday,7,5,FALSE,FALSE,Low,Medium,Online Only,Offline
49,Male,High,Rural,20,139,Electronics,8,Offline,FALSE,Credit Card,FALSE,Afternoon,Holiday Weekend,3,7,FALSE,FALSE,High,High,Offline Only,Online
31,Female,Low,Rural,3,695,Electronics,6,Online,FALSE,Credit Card,TRUE,Morning,Regular,11,1,FALSE,TRUE,Low,Medium,Online Only,Online
23,Male,Low,Rural,15,560,Fashion,4,Offline,FALSE,Credit Card,TRUE,Evening,Summer Sale,9,1,TRUE,TRUE,Medium,Medium,Online Only,Online
27,Male,Low,Urban,11,211,Groceries,6,Offline,TRUE,Debit Card,TRUE,Morning,Cyber Monday,14,7,TRUE,TRUE,Low,Medium,Offline Only,Offline
41,Female,High,Suburban,18,384,Electronics,6,Offline,FALSE,Credit Card,TRUE,Afternoon,Holiday Weekend,12,4,TRUE,FALSE,Low,High,Offline Only,Offline
36,Female,High,Rural,13,668,Home Appliances,8,Online,TRUE,UPI,TRUE,Afternoon,Cyber Monday,12,6,TRUE,FALSE,Low,High,Online Only,Offline
28,Male,Medium,Suburban,15,669,Electronics,5,Offline,FALSE,Cash,FALSE,Afternoon,Cyber Monday,9,1,TRUE,TRUE,Medium,Low,Offline Only,Online
26,Male,Low,Suburban,4,709,Electronics,2,Offline,TRUE,Digital Wallet,FALSE,Afternoon,Black Friday,12,4,TRUE,FALSE,High,Medium,Online Only,Online
20,Female,High,Urban,4,117,Groceries,10,Online,FALSE,Digital Wallet,TRUE,Evening,Holiday Weekend,5,1,TRUE,FALSE,Medium,High,Online Only,Online
42,Female,Low,Urban,3,157,Beauty Products,10,Offline,TRUE,Debit Card,TRUE,Afternoon,Summer Sale,11,8,TRUE,TRUE,High,Low,Online Only,Offline
24,Female,Low,Suburban,13,635,Furniture,8,Offline,FALSE,UPI,FALSE,Evening,Regular,15,3,TRUE,TRUE,High,High,Offline Only,Online
43,Female,Medium,Rural,13,322,Furniture,10,Online,FALSE,Credit Card,FALSE,Morning,New Year Sale,9,3,TRUE,TRUE,High,Low,Online Only,Online
47,Male,High,Urban,18,354,Home Appliances,2,Online,TRUE,Credit Card,TRUE,Evening,Summer Sale,2,3,TRUE,FALSE,Medium,High,Online Only,Offline
27,Male,Medium,Suburban,5,881,Groceries,5,Offline,FALSE,UPI,TRUE,Morning,Regular,3,5,FALSE,FALSE,Medium,Low,Online Only,Offline
26,Male,Low,Urban,18,434,Furniture,3,Online,TRUE,Cash,TRUE,Afternoon,Cyber Monday,4,7,TRUE,FALSE,High,Medium,Online Only,Offline
47,Male,Medium,Urban,10,686,Home Appliances,7,Online,FALSE,Debit Card,FALSE,Evening,Holiday Weekend,1,4,FALSE,TRUE,Low,High,Offline Only,Offline
27,Male,High,Rural,18,531,Beauty Products,10,Offline,TRUE,Digital Wallet,TRUE,Afternoon,New Year Sale,14,4,TRUE,TRUE,Medium,Medium,Online Only,Offline
38,Female,Medium,Suburban,5,581,Beauty Products,7,Online,FALSE,Cash,FALSE,Afternoon,Regular,9,8,TRUE,FALSE,High,High,Offline Only,Online
41,Female,Medium,Suburban,11,731,Electronics,5,Online,FALSE,UPI,TRUE,Afternoon,New Year Sale,9,1,TRUE,FALSE,Low,High,Offline Only,Online
21,Female,High,Rural,11,159,Fashion,5,Online,TRUE,Cash,TRUE,Morning,Cyber Monday,8,4,TRUE,TRUE,Low,High,Online Only,Online
32,Female,Medium,Suburban,8,647,Electronics,1,Offline,FALSE,Debit Card,TRUE,Afternoon,Cyber Monday,2,7,TRUE,TRUE,Low,Low,Offline Only,Offline
48,Male,High,Urban,17,195,Electronics,5,Online,FALSE,Debit Card,FALSE,Evening,New Year Sale,1,2,FALSE,TRUE,Low,Low,Online Only,Offline
23,Male,Medium,Urban,11,388,Beauty Products,7,Offline,FALSE,Credit Card,FALSE,Afternoon,Cyber Monday,6,8,TRUE,TRUE,High,High,Online Only,Online
37,Female,Low,Suburban,9,681,Groceries,5,Online,FALSE,Cash,TRUE,Evening,Black Friday,6,6,TRUE,TRUE,High,Medium,Offline Only,Online
48,Male,Medium,Suburban,20,105,Furniture,10,Online,FALSE,UPI,TRUE,Morning,Regular,9,1,TRUE,TRUE,Low,High,Offline Only,Online
46,Male,Low,Rural,5,243,Groceries,7,Online,TRUE,Cash,FALSE,Evening,New Year Sale,11,3,FALSE,FALSE,High,High,Offline Only,Offline
33,Female,Low,Urban,9,594,Beauty Products,6,Offline,TRUE,Credit Card,TRUE,Morning,Holiday Weekend,14,1,FALSE,TRUE,Low,Medium,Online Only,Offline
41,Male,Medium,Suburban,14,657,Furniture,7,Offline,TRUE,Cash,TRUE,Morning,Holiday Weekend,15,7,TRUE,TRUE,Low,Medium,Offline Only,Offline
29,Female,High,Rural,14,101,Groceries,3,Offline,FALSE,Credit Card,TRUE,Afternoon,Summer Sale,10,3,FALSE,FALSE,Medium,High,Online Only,Offline
31,Female,Low,Suburban,6,693,Beauty Products,1,Offline,TRUE,Digital Wallet,TRUE,Evening,Summer Sale,12,8,FALSE,TRUE,Low,Low,Online Only,Offline
44,Male,High,Rural,3,470,Electronics,3,Offline,TRUE,Cash,FALSE,Evening,Summer Sale,8,6,TRUE,FALSE,Medium,Medium,Offline Only,Online
41,Male,Medium,Urban,14,225,Electronics,6,Offline,FALSE,UPI,TRUE,Morning,Cyber Monday,10,5,TRUE,TRUE,High,Medium,Online Only,Offline
22,Female,Medium,Suburban,19,198,Beauty Products,9,Online,FALSE,Cash,FALSE,Afternoon,Summer Sale,7,4,FALSE,FALSE,Low,Medium,Offline Only,Online
40,Female,High,Urban,14,440,Furniture,6,Online,TRUE,UPI,TRUE,Afternoon,Black Friday,14,3,TRUE,TRUE,Low,Medium,Online Only,Offline
